Report_Year,Age,Year_of_Birth,Year_of_Death,Gender,Career,Income_per_Year_EGP,Residence_Site,Residence_Type,Real_Estate_ID,Marital_Status,Family_Size,Edu_Grade,Edu_Type,School_Type,University_Major,University_Type,Health_Percent,Requires_Hospital_Bed,Health_Condition,Has_Solar_System,Has_AC,Avg_Monthly_Electricity_KW,Avg_Monthly_Gas_m3,Avg_Monthly_Water_m3,Avg_Monthly_Food_Waste_kg,Avg_Monthly_Internet_GB,Carbon_Footprint_Index,Monthly_Energy_Consumption_Index,Green_Fuel_Vehicle_Owner,Public_Transit_Green_Fuel_Usage,Primary_Transport_Type
2030,33,1997,Alive,Male,Economics,442806,R3,Apartment,15058760210051,Married,2,Graduate/Post-Graduate,Higher Ed,None,Economics,National,89,0,None,1,1,107.84,50.99,29.47,16.01,1031.04,190.52,643.24,1,1,Electric Vehicle
2030,25,2005,Alive,Female,Education/Teaching,224946,R3,Apartment,15058760210051,Married,2,Graduate/Post-Graduate,Higher Ed,None,Education/Teaching,National,98,0,None,1,1,107.84,50.99,29.47,16.01,1031.04,190.52,643.24,0,0,Private Car (Combustion)
2030,31,1999,Alive,Male,Graphic Design,215857,R8,Villa,05500506386734,Married,4,Graduate/Post-Graduate,Higher Ed,None,Graphic Design,International,93,0,None,1,1,223.48,12.85,41.99,15.15,838.69,164.16,358.44,1,1,Electric Vehicle
2030,24,2006,Alive,Female,General Management,277100,R8,Villa,05500506386734,Married,4,Graduate/Post-Graduate,Higher Ed,None,General Management,Public,88,0,None,1,1,223.48,12.85,41.99,15.15,838.69,164.16,358.44,0,0,Private Car (Combustion)
2030,5,2025,Alive,Female,Unemployed/Student,0,R8,Villa,05500506386734,Single,4,Kindergarten,Basic,Private,None,None,95,0,None,1,1,223.48,12.85,41.99,15.15,838.69,164.16,358.44,1,1,Electric Vehicle
2030,3,2027,Alive,Male,Unemployed/Student,0,R8,Villa,05500506386734,Single,4,None,None,None,None,None,96,0,None,1,1,223.48,12.85,41.99,15.15,838.69,164.16,358.44,1,1,Electric Vehicle
2030,33,1997,Alive,Male,Civil Engineering,541445,R1,Town House,15231412663278,Married,4,Graduate/Post-Graduate,Higher Ed,None,Civil Engineering,Private,92,0,None,0,1,313.91,36.9,20.03,11.95,638.81,244.94,701.41,0,1,Fly Taxi
2030,25,2005,Alive,Female,Nursing,299888,R1,Town House,15231412663278,Married,4,Graduate/Post-Graduate,Higher Ed,None,Nursing,Public,97,0,None,0,1,313.91,36.9,20.03,11.95,638.81,244.94,701.41,0,1,Monorail
2030,1,2029,Alive,Male,Unemployed/Student,0,R1,Town House,15231412663278,Single,4,None,None,None,None,None,95,0,None,0,1,313.91,36.9,20.03,11.95,638.81,244.94,701.41,1,1,Electric Vehicle
2030,4,2026,Alive,Male,Unemployed/Student,0,R1,Town House,15231412663278,Single,4,Kindergarten,Basic,Public,None,None,91,0,None,0,1,313.91,36.9,20.03,11.95,638.81,244.94,701.41,0,1,Public Bus
