Report_Year,Age,Year_of_Birth,Year_of_Death,Gender,Career,Income_per_Year_EGP,Residence_Site,Residence_Type,Real_Estate_ID,Marital_Status,Family_Size,Edu_Grade,Edu_Type,School_Type,University_Major,University_Type,Health_Percent,Requires_Hospital_Bed,Health_Condition,Has_Solar_System,Has_AC,Avg_Monthly_Electricity_KW,Avg_Monthly_Gas_m3,Avg_Monthly_Water_m3,Avg_Monthly_Food_Waste_kg,Avg_Monthly_Internet_GB,Carbon_Footprint_Index,Monthly_Energy_Consumption_Index,Green_Fuel_Vehicle_Owner,Public_Transit_Green_Fuel_Usage,Primary_Transport_Type
2050,30,2020,Alive,Male,Artificial Intelligence,900348,R5,Villa,30348836743671,Married,5,Graduate/Post-Graduate,Higher Ed,None,Artificial Intelligence,National,87,0,None,1,1,172.56,31.45,25.12,12.79,220.26,172.55,502.82,1,1,Electric Vehicle
2050,26,2024,Alive,Female,Graphic Design,98811,R5,Villa,30348836743671,Married,5,Graduate/Post-Graduate,Higher Ed,None,Graphic Design,International,97,0,None,1,1,172.56,31.45,25.12,12.79,220.26,172.55,502.82,0,1,Monorail
2050,1,2049,Alive,Female,Unemployed/Student,0,R5,Villa,30348836743671,Single,5,None,None,None,None,None,94,0,None,1,1,172.56,31.45,25.12,12.79,220.26,172.55,502.82,1,1,Electric Vehicle
2050,7,2043,Alive,Female,Unemployed/Student,0,R5,Villa,30348836743671,Single,5,Primary,Basic,Private,None,None,88,0,None,1,1,172.56,31.45,25.12,12.79,220.26,172.55,502.82,1,1,Electric Vehicle
2050,7,2043,Alive,Male,Unemployed/Student,0,R5,Villa,30348836743671,Single,5,Primary,Basic,Public,None,None,55,0,Cardiovascular Services,1,1,172.56,31.45,25.12,12.79,220.26,172.55,502.82,0,0,Private Car (Combustion)
2050,30,2020,Alive,Male,Graphic Design,271865,R3,Town House,80676157524068,Married,4,Graduate/Post-Graduate,Higher Ed,None,Graphic Design,International,97,0,None,1,0,103.98,33.12,20.26,14.64,309.18,149.65,451.79,0,1,Monorail
2050,24,2026,Alive,Female,Software Engineering,593121,R3,Town House,80676157524068,Married,4,Graduate/Post-Graduate,Higher Ed,None,Software Engineering,International,79,0,Mental Health,1,0,103.98,33.12,20.26,14.64,309.18,149.65,451.79,0,1,LRT
2050,5,2045,Alive,Female,Unemployed/Student,0,R3,Town House,80676157524068,Single,4,Kindergarten,Basic,Public,None,None,56,0,Physical Therapy and Rehabilitation,1,0,103.98,33.12,20.26,14.64,309.18,149.65,451.79,1,1,Electric Vehicle
2050,5,2045,Alive,Female,Unemployed/Student,0,R3,Town House,80676157524068,Single,4,Kindergarten,Basic,International,None,None,89,0,None,1,0,103.98,33.12,20.26,14.64,309.18,149.65,451.79,0,0,Private Car (Combustion)
2050,23,2027,Alive,Male,Mechatronics,194635,R6,Apartment,07640227434503,Married,3,Graduate/Post-Graduate,Higher Ed,None,Mechatronics,National,95,0,None,0,1,788.1,24.29,24.63,19.17,504.29,451.13,1043.12,0,1,LRT
