Report_Year,Age,Year_of_Birth,Year_of_Death,Gender,Career,Income_per_Year_EGP,Residence_Site,Residence_Type,Real_Estate_ID,Marital_Status,Family_Size,Edu_Grade,Edu_Type,School_Type,University_Major,University_Type,Health_Percent,Requires_Hospital_Bed,Health_Condition,Has_Solar_System,Has_AC,Avg_Monthly_Electricity_KW,Avg_Monthly_Gas_m3,Avg_Monthly_Water_m3,Avg_Monthly_Food_Waste_kg,Avg_Monthly_Internet_GB,Carbon_Footprint_Index,Monthly_Energy_Consumption_Index,Green_Fuel_Vehicle_Owner,Public_Transit_Green_Fuel_Usage,Primary_Transport_Type
2035,28,2007,Alive,Male,Pharmacy,219114,R2,Twin House,45826648218722,Married,3,Graduate/Post-Graduate,Higher Ed,None,Pharmacy,Private,89,0,None,0,1,449.32,36.24,22.59,6.57,675.89,291.1,829.81,0,1,LRT
2035,24,2011,Alive,Female,Civil Engineering,544113,R2,Twin House,45826648218722,Married,3,Graduate/Post-Graduate,Higher Ed,None,Civil Engineering,International,85,0,None,0,1,449.32,36.24,22.59,6.57,675.89,291.1,829.81,1,1,Electric Vehicle
2035,3,2032,Alive,Male,Unemployed/Student,0,R2,Twin House,45826648218722,Single,3,None,None,None,None,None,89,0,None,0,1,449.32,36.24,22.59,6.57,675.89,291.1,829.81,0,0,Private Car (Combustion)
2035,34,2001,Alive,Male,Information Technology,646205,R3,Studio,36606160526000,Married,2,Graduate/Post-Graduate,Higher Ed,None,Information Technology,Private,73,0,Physical Therapy and Rehabilitation,1,1,194.02,23.85,24.62,5.02,370.32,147.56,444.45,0,0,Private Car (Combustion)
2035,28,2007,Alive,Female,Education/Teaching,129875,R3,Studio,36606160526000,Married,2,Graduate/Post-Graduate,Higher Ed,None,Education/Teaching,Private,71,0,Oncology Services,1,1,194.02,23.85,24.62,5.02,370.32,147.56,444.45,0,0,Private Car (Combustion)
2035,31,2004,Alive,Male,Information Technology,437902,R1,Apartment,28414227850618,Married,3,Graduate/Post-Graduate,Higher Ed,None,Information Technology,Public,91,0,None,1,1,199.49,28.69,25.44,12.11,272.0,177.43,500.75,0,0,Private Car (Combustion)
2035,25,2010,Alive,Female,General Management,618618,R1,Apartment,28414227850618,Married,3,Graduate/Post-Graduate,Higher Ed,None,General Management,International,86,0,None,1,1,199.49,28.69,25.44,12.11,272.0,177.43,500.75,0,1,Public Bus
2035,3,2032,Alive,Male,Unemployed/Student,0,R1,Apartment,28414227850618,Single,3,None,None,None,None,None,84,0,Ophthalmology and Surgeries,1,1,199.49,28.69,25.44,12.11,272.0,177.43,500.75,1,1,Electric Vehicle
2035,29,2006,Alive,Male,Pharmacy,391639,R7,Apartment,58521642485523,Married,3,Graduate/Post-Graduate,Higher Ed,None,Pharmacy,International,99,0,None,0,1,214.95,40.47,44.48,21.8,455.75,232.17,639.92,0,1,Public Bus
2035,22,2013,Alive,Female,Medicine,229398,R7,Apartment,58521642485523,Married,3,Graduate/Post-Graduate,Higher Ed,None,Medicine,Private,99,0,None,0,1,214.95,40.47,44.48,21.8,455.75,232.17,639.92,1,1,Electric Vehicle
2035,1,2034,Alive,Male,Unemployed/Student,0,R7,Apartment,58521642485523,Single,3,None,None,None,None,None,86,0,None,0,1,214.95,40.47,44.48,21.8,455.75,232.17,639.92,0,1,Monorail
2035,31,2004,Alive,Male,General Management,347105,R5,Apartment,03410736868452,Single,1,Graduate/Post-Graduate,Higher Ed,None,General Management,Private,73,0,Specialized Dentistry,1,0,113.68,53.07,40.34,14.35,355.34,193.17,670.87,0,1,LRT
2035,29,2006,Alive,Male,General Management,700340,R7,Apartment,28126313012051,Married,3,Graduate/Post-Graduate,Higher Ed,None,General Management,Private,90,0,None,0,0,258.16,40.63,36.26,12.39,676.37,228.41,684.78,0,0,Private Car (Combustion)
2035,25,2010,Alive,Female,Human Resources,460422,R7,Apartment,28126313012051,Married,3,Graduate/Post-Graduate,Higher Ed,None,Human Resources,Private,88,0,None,0,0,258.16,40.63,36.26,12.39,676.37,228.41,684.78,0,1,Public Bus
2035,1,2034,Alive,Male,Unemployed/Student,0,R7,Apartment,28126313012051,Single,3,None,None,None,None,None,91,0,Ophthalmology and Surgeries,0,0,258.16,40.63,36.26,12.39,676.37,228.41,684.78,0,1,Public Bus
2035,29,2006,Alive,Male,Artificial Intelligence,1385148,R4,Town House,03714865072558,Married,3,Graduate/Post-Graduate,Higher Ed,None,Artificial Intelligence,International,94,0,None,1,0,100.46,36.8,29.08,16.83,525.04,160.89,486.86,0,0,Private Car (Combustion)
2035,25,2010,Alive,Female,Law,295952,R4,Town House,03714865072558,Married,3,Graduate/Post-Graduate,Higher Ed,None,Law,International,97,0,None,1,0,100.46,36.8,29.08,16.83,525.04,160.89,486.86,0,1,LRT
2035,0,2035,Alive,Female,Unemployed/Student,0,R4,Town House,03714865072558,Single,3,None,None,None,None,None,86,0,Mental Health,1,0,100.46,36.8,29.08,16.83,525.04,160.89,486.86,0,1,Monorail
2035,28,2007,Alive,Male,Civil Engineering,184768,R8,Apartment,34341053318255,Married,3,Graduate/Post-Graduate,Higher Ed,None,Civil Engineering,Public,73,0,Ophthalmology and Surgeries,0,1,491.08,31.64,31.33,12.34,263.53,315.12,823.28,1,1,Electric Vehicle
2035,23,2012,Alive,Female,Mechatronics,351348,R8,Apartment,34341053318255,Married,3,Graduate/Post-Graduate,Higher Ed,None,Mechatronics,Private,85,0,None,0,1,491.08,31.64,31.33,12.34,263.53,315.12,823.28,0,1,LRT
